Date,Open,High,Low,Close,Volume
2023-01-03,122.14988002190493,125.68051385944831,121.61282541184728,124.05940246582031,35528500
2023-01-04,126.68499643310567,128.3458904758732,125.1633455139879,126.67505645751953,32397100
2023-01-05,125.44181270064794,127.81877947591597,123.86049162591854,126.24739837646484,25447100
2023-01-06,128.26631859778368,129.61889880968906,125.3523048808097,129.3105926513672,27584500
2023-01-09,130.4443771431501,132.2246039865523,128.57462981837625,128.7635955810547,26649100
2023-01-10,126.57560414737875,132.71194603562412,126.45626373052198,132.264404296875,28684400
2023-01-11,130.2454548583798,133.11968565975423,129.62882742026108,132.1649169921875,25423000
2023-01-12,132.7119483326621,136.92880500697495,131.0411065900665,135.964111328125,30757700
2023-01-13,134.23359244780255,136.6403868835783,134.10429688361904,136.2326202392578,22423800
2023-01-17,135.4369934010125,136.0038907601021,133.51753078276934,134.62147521972656,21147600
2023-01-18,135.06899048383906,136.50113597792236,132.0754191215774,132.29421997070312,20215500
2023-01-19,131.76711616232177,136.70004501074817,131.4190197551415,135.40713500976562,28625200
2023-01-20,135.1485649693157,139.17647065056417,133.87555003840512,138.6095733642578,28688600
2023-01-23,138.53000120191047,142.97561326540242,137.90344891833126,142.48829650878906,27470100
2023-01-24,140.91689300580944,144.20883007812853,140.58869177836092,142.35897827148438,21970200
2023-01-25,140.44949522181398,142.3888528531503,139.54445660201168,140.72796630859375,26622000
2023-01-26,143.61213615495626,146.70516835699348,142.51814694692817,146.49632263183594,25482100
2023-01-27,147.43116071558256,152.35414890079005,146.5857925166289,150.9120635986328,35771900
2023-01-30,148.59479822122188,150.29545968296702,146.14821370672965,146.2576141357422,28040100
2023-01-31,147.14275708591452,149.06223457525653,146.7151105218978,148.15719604492188,29842100
2023-02-01,147.2223362138785,152.74205804061552,146.25762739120842,152.28456115722656,55661000
2023-02-02,182.3794603978227,196.08427376205427,179.17702791077238,187.74005126953125,150475700
2023-02-03,182.46896623245266,195.69640282478898,181.89212896302806,185.51226806640625,76809700
2023-02-06,185.5122671559616,189.65951327947957,184.50778330883577,185.04483032226562,42483800
2023-02-07,184.5674698287293,192.7227272616835,183.39390006521708,190.5745086669922,47080700
2023-02-08,188.96332899324764,189.78880219886125,181.921956807593,182.42916870117188,36139100
2023-02-09,185.11447734519749,185.63162929257814,176.30281700437294,176.9492645263672,37118800
2023-02-10,175.38782255976562,177.91395738456265,172.40419086445144,173.19981384277344,33433600
2023-02-13,177.2476144121008,180.01244522976373,174.8607151312021,178.4510040283203,31463200
2023-02-14,176.19339849748158,180.519655296545,174.92038353736064,178.500732421875,24034600
